NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC AEM-SERVICE-ITP SRL,"CHITILA,STR. CARTIERULUI 10,jud.ILFOV","CHITILA,STR. CARTIERULUI 10,jud.ILFOV",10,1341,B0179,,21-MAY-25-20-MAY-27,1;2;3,,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor tractate prin probe functonale in parcurs
SC TRANSCOM SA,"BUCURESTI,STR. SPATARUL PREDA 7B,jud.BUCURESTI","BUCURESTI,STR. SPATARU PREDA, BIROURI-C2-ET.1, CAM.4 7B,jud.BUCURESTI",29,33,B0022,21.3177148,06-MAR-25-05-MAR-27,2;3,"Autovehicule din categoriile N2, N3 si T;Autovehicule echipate cu instalate GNC;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SOCIETATEA DE TRANSPORT BUCURESTI STB S.A.,"BUCURESTI,STR. THEODOR PALLADY 64,jud.BUCURESTI","BUCURESTI,B-dul. Dinicu Golescu 1,jud.BUCURESTI",32,6,B0042,,19-APR-25-18-APR-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO MARCU' S GRUP SA,"BUCURESTI,SOS. PANTELIMON 450,jud.BUCURESTI","BUCURESTI,SOS. PANTELIMON 450,jud.BUCURESTI",41,16,B0032,,10-DEC-24-09-DEC-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC G.N.V. OMEGA TRADING SRL,"VOLUNTARI,SOS. AFUMATI 93A,jud.ILFOV","VOLUNTARI,SOS. AFUMATI 86,jud.ILFOV",83,752,B0107,21.2703053,06-JUN-24-05-JUN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICE AUTO SERUS SRL,"BUCURESTI,BD. TIMISOARA 60E,jud.BUCURESTI","BUCURESTI,BD. TIMISOARA 60E,jud.BUCURESTI",100,430,B0065,21.4440803,03-SEP-25-02-SEP-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC LEONARD IMPEX PROD COM SRL,"BUCURESTI,BD. UVERTURII 134D,jud.BUCURESTI","BUCURESTI,BD. UVERTURII 134D,jud.BUCURESTI",111,1057,B0140,21.4341758,09-AUG-25-08-AUG-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VIATOR & VEKTOR RO SRL,"MIOVENI,STR. DINICU GOLESCU 107,jud.ARGES","SAT ARGESELU, COM. MARACINENI,- 500-A,jud.ARGES",173,1504,AG035,,03-JUL-25-02-JUL-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC EURO TEHNO GROUP SRL,"PITESTI,BD. PETROCHIMISTILOR 34,jud.ARGES","PITESTI,BD. PETROCHIMISTILOR 34,jud.ARGES",174,990,AG036,,03-NOV-24-02-NOV-26,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC INTERNATIONAL LAZAR COMPANY SRL,"BASCOV,STR. SERELOR 19,jud.ARGES","BASCOV,STR. SERELOR 19,jud.ARGES",175,1011,AG038,248.2707,09-FEB-25-08-FEB-27,2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Autovehicule echipate cu tractune integrala permanenta;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
